player_id,seasons,all_star_seasons,all_star_percent,avg_yearly_salary,abs_per_double,abs_per_sb,abs_per_so,abs_per_bb,batting_avg,abs_per_hr
jonesch06,19,8,42.11,8.92,16.0,60.0,6.0,6.0,303.0,19.2
jordabr01,15,1,6.67,3.46,19.0,43.0,6.0,15.0,282.0,28.04
josefe01,5,1,20.0,0.83,18.0,23.0,5.0,13.0,284.0,47.36
joycema01,7,1,14.29,1.81,18.0,75.0,4.0,7.0,241.0,27.0
joynewa01,16,1,6.25,2.49,17.0,119.0,9.0,9.0,289.0,34.94
justida01,12,3,25.0,5.49,20.0,128.0,6.0,6.0,279.0,18.61
kellyro01,13,2,15.38,2.08,20.0,21.0,6.0,15.0,290.0,38.58
kempma01,9,2,22.22,9.46,19.0,26.0,4.0,11.0,290.0,22.78
kendaja01,15,3,20.0,6.17,19.0,40.0,11.0,11.0,288.0,101.69
kendrho01,9,1,11.11,4.35,17.0,45.0,5.0,19.0,293.0,51.98
kennete02,7,2,28.57,0.88,23.0,945.0,5.0,14.0,250.0,50.63
kentje01,17,5,29.41,5.2,15.0,90.0,6.0,11.0,290.0,22.54
kinslia01,10,4,40.0,6.72,17.0,28.0,8.0,10.0,276.0,29.94
kleskry01,15,1,6.67,4.01,16.0,62.0,5.0,7.0,279.0,20.13
knoblch01,11,4,36.36,3.84,19.0,15.0,8.0,8.0,290.0,59.8
konerpa01,17,6,35.29,7.59,20.0,932.0,6.0,9.0,279.0,19.1
krukjo01,10,3,30.0,1.14,20.0,67.0,6.0,6.0,300.0,38.97
lankfra01,14,1,7.14,3.99,16.0,22.0,4.0,7.0,272.0,24.15
lansfca01,8,1,12.5,1.22,24.0,27.0,13.0,13.0,285.0,52.46
larkiba01,19,12,63.16,4.13,18.0,21.0,10.0,8.0,295.0,40.09
lawtoma02,12,2,16.67,4.58,18.0,29.0,8.0,7.0,267.0,34.51
leeca01,14,3,21.43,11.31,17.0,64.0,8.0,12.0,285.0,22.3
leede02,14,2,14.29,8.0,16.0,66.0,4.0,8.0,282.0,20.93
leonaje01,6,2,33.33,1.06,23.0,42.0,5.0,18.0,256.0,34.06
liebemi01,14,2,14.29,3.81,16.0,527.0,7.0,13.0,274.0,28.12
loducpa01,9,4,44.44,4.36,17.0,191.0,13.0,15.0,286.0,48.88
loftoke01,17,6,35.29,4.04,21.0,13.0,8.0,9.0,299.0,62.46
longoev01,7,2,28.57,4.14,16.0,99.0,4.0,9.0,271.0,21.1
lopezja01,14,3,21.43,5.02,20.0,663.0,5.0,15.0,287.0,20.4
lopezjo01,7,1,14.29,2.37,19.0,164.0,8.0,25.0,264.0,40.52
lowelmi01,12,4,33.33,6.37,15.0,193.0,7.0,11.0,279.0,26.0
lucrojo01,5,1,20.0,1.35,17.0,111.0,6.0,11.0,286.0,35.85
ludwiry01,9,1,11.11,4.63,18.0,334.0,4.0,10.0,261.0,22.75
martied01,15,7,46.67,3.3,14.0,148.0,6.0,6.0,313.0,22.69
martiru01,9,4,44.44,4.93,21.0,46.0,5.0,7.0,254.0,30.5
martiti02,14,2,14.29,3.7,19.0,257.0,7.0,9.0,272.0,20.69
martivi01,11,5,45.45,7.26,16.0,949.0,9.0,10.0,302.0,28.76
matsuhi01,9,2,22.22,9.25,18.0,334.0,7.0,8.0,285.0,25.13
matthga02,9,1,11.11,4.87,18.0,43.0,5.0,9.0,259.0,39.02
mattido01,11,5,45.45,2.71,16.0,470.0,16.0,12.0,305.0,31.33
mauerjo01,12,6,50.0,12.42,16.0,113.0,7.0,7.0,313.0,45.59
mccanbr01,10,7,70.0,7.53,19.0,211.0,6.0,10.0,268.0,21.1
mccutan01,6,5,83.33,3.92,16.0,26.0,5.0,7.0,299.0,24.69
mcgeewi01,15,3,20.0,1.66,20.0,25.0,6.0,16.0,296.0,94.61
mcgrifr01,17,5,29.41,4.51,20.0,121.0,5.0,7.0,285.0,17.68
mcgwima01,16,12,75.0,5.11,25.0,516.0,4.0,5.0,263.0,10.61
mclouna01,9,1,11.11,3.18,17.0,24.0,5.0,9.0,246.0,32.79
milleda02,11,1,9.09,1.75,16.0,636.0,4.0,11.0,262.0,36.57
mitchke01,12,2,16.67,1.77,18.0,137.0,6.0,8.0,284.0,17.61
molinya01,11,7,63.64,6.11,19.0,112.0,10.0,13.0,283.0,50.22
molitpa01,14,6,42.86,2.72,17.0,25.0,9.0,9.0,313.0,44.3
mondera01,13,1,7.69,7.05,18.0,25.0,5.0,12.0,273.0,21.45
montemi01,9,2,22.22,4.92,18.0,1116.0,4.0,9.0,262.0,29.89
morame01,12,2,16.67,3.37,19.0,59.0,6.0,10.0,278.0,31.53
moranmi01,9,1,11.11,1.28,21.0,39.0,6.0,10.0,270.0,138.47
morneju01,11,4,36.36,10.18,16.0,1022.0,6.0,10.0,284.0,23.44
mosebll01,7,1,14.29,1.05,22.0,18.0,5.0,8.0,252.0,32.36
murphda05,9,3,33.33,2.06,21.0,85.0,4.0,8.0,257.0,21.08
murphda08,6,1,16.67,2.99,15.0,57.0,8.0,16.0,287.0,53.72
murraed02,13,3,23.08,2.54,21.0,108.0,8.0,9.0,280.0,24.51
napolmi01,9,1,11.11,8.29,19.0,107.0,3.0,7.0,256.0,17.67
navardi01,9,1,11.11,1.83,23.0,204.0,6.0,12.0,252.0,40.17
nevinph01,12,1,8.33,5.85,20.0,233.0,4.0,9.0,270.0,20.13
nilssda01,7,1,14.29,1.97,18.0,201.0,6.0,9.0,287.0,25.89
nokesma01,9,1,11.11,1.3,29.0,340.0,7.0,13.0,252.0,20.13
offerjo01,15,2,13.33,2.66,23.0,33.0,6.0,7.0,273.0,99.67
olerujo01,15,2,13.33,5.06,15.0,674.0,7.0,6.0,295.0,29.88
ordonma01,15,6,40.0,8.9,16.0,74.0,8.0,11.0,309.0,23.73
ortizda01,17,9,52.94,8.47,14.0,536.0,5.0,7.0,285.0,16.0
pagnoto01,12,1,8.33,1.33,19.0,161.0,6.0,15.0,253.0,65.82
palmede01,12,1,8.33,4.69,21.0,96.0,4.0,10.0,255.0,17.75
palmera01,19,4,21.05,4.7,18.0,108.0,8.0,8.0,289.0,18.37
parkeda01,7,3,42.86,1.39,19.0,195.0,6.0,13.0,272.0,24.86
parrila02,10,4,40.0,1.44,27.0,446.0,4.0,10.0,242.0,22.27
pedrodu01,9,4,44.44,6.18,15.0,38.0,9.0,10.0,301.0,42.0
penaca01,11,1,9.09,4.69,22.0,171.0,3.0,6.0,232.0,17.06
penato01,13,3,23.08,1.28,22.0,79.0,8.0,13.0,246.0,73.02
pencehu01,8,3,37.5,10.9,20.0,47.0,5.0,12.0,280.0,25.44
pendlte01,14,1,7.14,1.4,20.0,63.0,7.0,14.0,268.0,48.71
peraljh01,11,3,27.27,5.89,17.0,374.0,5.0,11.0,269.0,31.52
perryge01,10,1,10.0,0.63,20.0,21.0,8.0,11.0,263.0,54.86
phillbr01,10,3,30.0,7.28,21.0,35.0,7.0,17.0,274.0,33.34
piazzmi01,15,12,80.0,9.08,20.0,402.0,6.0,9.0,309.0,16.06
pierzaj01,15,2,13.33,4.59,18.0,533.0,8.0,23.0,282.0,37.63
podsesc01,7,1,14.29,1.49,22.0,12.0,6.0,11.0,276.0,95.27
polanpl01,15,2,13.33,3.89,21.0,87.0,14.0,17.0,298.0,67.9
posadjo01,15,5,33.33,7.83,16.0,304.0,4.0,7.0,274.0,22.1
poseybu01,5,3,60.0,7.64,17.0,290.0,7.0,9.0,313.0,27.57
pradoma01,8,1,12.5,6.14,16.0,111.0,8.0,14.0,291.0,47.56
preslji01,6,1,16.67,0.42,19.0,453.0,4.0,16.0,249.0,26.93
puckeki01,11,10,90.91,2.71,17.0,56.0,7.0,15.0,320.0,32.3
pujolal01,15,10,66.67,11.94,15.0,83.0,9.0,7.0,312.0,15.26
quentca01,8,2,25.0,4.45,16.0,175.0,5.0,9.0,252.0,18.1
raineti01,17,3,17.65,2.05,21.0,14.0,9.0,7.0,294.0,46.87
ramirar01,17,3,17.65,9.7,16.0,279.0,7.0,13.0,284.0,20.93
ramirha01,10,3,30.0,10.59,16.0,19.0,5.0,10.0,296.0,24.17
ramirma02,19,12,63.16,12.87,15.0,217.0,5.0,6.0,312.0,14.85
randowi01,8,2,25.0,0.93,26.0,51.0,11.0,6.0,278.0,139.84
rayjo01,6,1,16.67,0.95,19.0,95.0,14.0,14.0,290.0,94.51
renteed01,15,5,33.33,5.66,18.0,28.0,7.0,11.0,285.0,57.12
reyesjo01,12,4,33.33,9.57,19.0,14.0,9.0,13.0,289.0,55.7
reynoha01,8,1,12.5,0.97,21.0,22.0,11.0,10.0,259.0,203.95
riceji01,5,2,40.0,1.89,22.0,452.0,6.0,10.0,286.0,29.0
riosal01,11,2,18.18,9.6,17.0,25.0,6.0,16.0,276.0,35.67
ripkeca01,17,17,100.0,4.11,20.0,310.0,9.0,10.0,272.0,27.54
roberbi01,11,1,9.09,1.95,20.0,16.0,8.0,10.0,294.0,137.93
roberbr01,11,2,18.18,5.85,14.0,19.0,6.0,9.0,279.0,52.47
rodrial01,21,14,66.67,17.97,19.0,32.0,5.0,8.0,297.0,15.05
rodrihe02,10,1,10.0,2.07,17.0,289.0,4.0,11.0,261.0,18.38
rodriiv01,20,14,70.0,6.82,17.0,73.0,7.0,18.0,297.0,30.23
rolensc01,17,7,41.18,8.18,14.0,63.0,5.0,8.0,281.0,23.41
rolliji01,15,3,20.0,6.52,18.0,20.0,7.0,11.0,265.0,39.7
rowanaa01,10,1,10.0,5.69,16.0,69.0,5.0,17.0,272.0,32.2
ruizca01,9,1,11.11,3.51,15.0,150.0,7.0,9.0,266.0,50.71
saboch01,9,3,33.33,1.23,16.0,28.0,7.0,12.0,267.0,29.38
samueju01,14,2,14.29,1.14,21.0,17.0,4.0,13.0,258.0,36.91
sanchfr01,8,3,37.5,4.05,16.0,258.0,8.0,19.0,299.0,69.83
sanchga01,5,1,20.0,1.17,16.0,164.0,5.0,9.0,254.0,33.37
sandbry01,11,8,72.73,2.27,21.0,27.0,7.0,11.0,285.0,26.53
sandere02,16,1,6.25,2.62,18.0,20.0,4.0,9.0,267.0,20.4
sandopa01,7,2,28.57,5.16,17.0,322.0,7.0,13.0,286.0,31.33
santibe01,19,5,26.32,1.75,21.0,76.0,5.0,16.0,263.0,32.19
saxst01,9,3,33.33,1.64,23.0,17.0,13.0,13.0,286.0,122.36
sciosmi01,8,2,25.0,1.23,21.0,134.0,15.0,8.0,260.0,59.41
scutama01,11,1,9.09,3.77,18.0,90.0,9.0,10.0,279.0,64.54
sexsori01,11,2,18.18,7.68,19.0,351.0,4.0,8.0,261.0,16.07
sharpmi01,6,1,16.67,0.39,19.0,51.0,8.0,8.0,288.0,101.5
sheffga01,21,9,42.86,8.86,20.0,37.0,8.0,6.0,292.0,18.09
sierrru01,16,4,25.0,4.26,19.0,57.0,7.0,13.0,267.0,27.65
sizemgr01,9,3,33.33,3.18,16.0,28.0,4.0,9.0,265.0,27.46
smithoz01,12,11,91.67,2.38,22.0,17.0,17.0,8.0,277.0,271.81
soriaal01,14,7,50.0,12.78,16.0,27.0,4.0,16.0,271.0,18.81
sosasa01,18,7,38.89,6.9,23.0,38.0,4.0,9.0,273.0,14.47
sotoge01,8,1,12.5,2.94,17.0,774.0,4.0,8.0,243.0,23.69
spraged02,10,1,10.0,1.34,18.0,667.0,5.0,12.0,245.0,26.67
stanlmi02,13,1,7.69,1.8,19.0,442.0,5.0,6.0,269.0,22.09
stantmi03,5,3,60.0,2.89,17.0,76.0,3.0,7.0,272.0,13.89
steinte01,13,3,23.08,1.93,20.0,233.0,6.0,13.0,270.0,33.46
stillku01,9,1,11.11,0.91,21.0,82.0,7.0,11.0,249.0,91.91
strawda01,14,7,50.0,2.17,21.0,27.0,4.0,7.0,259.0,16.05
surhobj01,19,1,5.26,2.05,19.0,59.0,10.0,13.0,282.0,43.93
suzukku01,8,1,12.5,4.56,19.0,191.0,8.0,15.0,256.0,53.43
sweenmi01,16,5,31.25,4.59,16.0,98.0,8.0,10.0,297.0,24.13
tablepa01,8,1,12.5,0.84,20.0,257.0,7.0,11.0,283.0,97.31
tartada01,12,1,8.33,3.19,18.0,137.0,4.0,7.0,272.0,19.03
teixema01,13,3,23.08,16.36,17.0,273.0,5.0,8.0,272.0,16.62
tejadmi01,16,6,37.5,6.4,18.0,99.0,8.0,15.0,285.0,27.47
templga01,7,1,14.29,0.98,23.0,61.0,7.0,16.0,248.0,94.56
tettlmi01,11,2,18.18,1.42,22.0,197.0,4.0,5.0,239.0,17.95
thomafr04,18,5,27.78,6.51,17.0,250.0,6.0,5.0,300.0,15.58
thomeji01,22,5,22.73,7.27,19.0,443.0,3.0,5.0,276.0,13.76
thompro01,11,2,18.18,1.68,19.0,45.0,5.0,11.0,257.0,38.76
trammal01,12,4,33.33,1.41,19.0,38.0,10.0,10.0,285.0,37.49
trumbma01,5,1,20.0,4.01,22.0,127.0,4.0,14.0,251.0,19.38
tulowtr01,9,5,55.56,9.49,17.0,75.0,5.0,9.0,298.0,20.65
ugglada01,10,3,30.0,7.62,20.0,183.0,4.0,8.0,241.0,20.25
uptonju01,8,3,37.5,6.45,19.0,37.0,4.0,8.0,273.0,22.28
utleych01,12,6,50.0,10.93,16.0,40.0,6.0,9.0,281.0,25.13
vanslan01,11,3,27.27,1.95,19.0,26.0,5.0,9.0,276.0,33.83
varitja01,14,3,21.43,4.79,17.0,204.0,4.0,8.0,256.0,26.41
vaughgr01,14,4,28.57,4.37,22.0,50.0,4.0,7.0,242.0,17.23
vaughmo01,12,3,25.0,5.84,20.0,184.0,4.0,8.0,293.0,16.87
victosh01,11,2,18.18,8.01,20.0,20.0,7.0,12.0,275.0,43.52
vidrojo01,12,3,25.0,4.16,15.0,222.0,9.0,11.0,298.0,39.95
vinafe01,12,1,8.33,1.98,22.0,37.0,15.0,15.0,282.0,106.0
virgioz02,5,2,40.0,0.57,32.0,513.0,5.0,9.0,242.0,21.99
vizquom01,24,3,12.5,2.63,23.0,26.0,10.0,10.0,272.0,132.32
vottojo01,8,4,50.0,8.14,14.0,67.0,4.0,5.0,311.0,20.54
walkela01,15,5,33.33,8.2,14.0,31.0,6.0,7.0,318.0,17.7
wardga01,6,1,16.67,0.59,25.0,47.0,6.0,13.0,268.0,40.24
weeksri01,10,1,10.0,4.83,20.0,34.0,4.0,8.0,248.0,27.5
weisswa01,13,1,7.69,1.48,26.0,49.0,7.0,7.0,256.0,186.4
wellsve01,13,3,23.08,9.02,18.0,63.0,7.0,14.0,270.0,24.33
werthja01,12,1,8.33,7.93,18.0,38.0,4.0,7.0,272.0,23.54
whitalo01,11,3,27.27,1.8,19.0,75.0,8.0,7.0,272.0,26.34
whitede03,16,3,18.75,2.29,19.0,21.0,5.0,14.0,263.0,35.27
whitefr01,5,1,20.0,0.87,18.0,145.0,7.0,15.0,248.0,45.59
whitero02,15,1,6.67,2.98,18.0,57.0,6.0,15.0,284.0,27.06
whitter01,6,1,16.67,0.7,21.0,185.0,8.0,8.0,252.0,26.7
wietema01,6,3,50.0,3.81,19.0,393.0,5.0,10.0,253.0,25.9
wiggity01,11,1,9.09,2.52,18.0,109.0,5.0,12.0,260.0,26.77
willibe02,16,5,31.25,6.44,18.0,54.0,6.0,7.0,297.0,27.42
willima04,15,5,33.33,5.26,20.0,135.0,5.0,15.0,273.0,18.23
wilsoda01,13,1,7.69,2.29,20.0,181.0,6.0,15.0,261.0,47.28
wilsoja02,12,1,8.33,4.46,20.0,114.0,8.0,18.0,265.0,80.16
wilsopr01,9,1,11.11,6.05,18.0,32.0,4.0,11.0,265.0,21.02
winfida01,10,4,40.0,2.31,20.0,93.0,6.0,9.0,275.0,23.4
winnra01,12,1,8.33,3.92,17.0,29.0,6.0,12.0,285.0,55.29
womacto01,10,1,10.0,3.74,26.0,14.0,8.0,16.0,273.0,136.03
wrighda03,11,7,63.64,9.54,15.0,30.0,5.0,8.0,298.0,25.32
youklke01,9,3,33.33,7.61,15.0,136.0,5.0,7.0,282.0,24.76
youngch04,9,1,11.11,4.92,16.0,31.0,4.0,9.0,235.0,24.44
youngdm01,13,2,15.38,3.68,16.0,190.0,5.0,12.0,292.0,27.85
younger01,14,1,7.14,2.53,18.0,13.0,13.0,9.0,283.0,76.76
youngmi02,12,7,58.33,9.32,18.0,87.0,7.0,14.0,303.0,43.28
zimmery01,9,1,11.11,8.18,16.0,130.0,5.0,10.0,284.0,24.31
zobribe01,9,2,22.22,4.3,16.0,40.0,6.0,7.0,267.0,33.07
